,datetime,weekday,month,nb_logs,perturbations_type,nb_perturbations,line:IDFM:C01727,line:IDFM:C01728,line:IDFM:C01729,line:IDFM:C01742,line:IDFM:C01743
0,2021-12-31 00:00:00+00:00,4,12,648,[],0,1,0,0,0,0
1,2021-12-31 00:00:00+00:00,4,12,676,[],0,1,0,0,0,0
2,2021-12-31 01:00:00+00:00,4,12,812,[],0,1,0,0,0,0
3,2021-12-31 02:00:00+00:00,4,12,449,[],0,1,0,0,0,0
4,2021-12-31 03:00:00+00:00,4,12,296,[],0,1,0,0,0,0
5,2021-12-31 04:00:00+00:00,4,12,496,[],0,1,0,0,0,0
6,2021-12-31 05:00:00+00:00,4,12,887,[],0,1,0,0,0,0
7,2021-12-31 06:00:00+00:00,4,12,1669,[],0,1,0,0,0,0
8,2021-12-31 07:00:00+00:00,4,12,2436,[],0,1,0,0,0,0
9,2021-12-31 08:00:00+00:00,4,12,4460,['Obstacle voie'],1,1,0,0,0,0
10,2021-12-31 09:00:00+00:00,4,12,4059,['Obstacle voie'],1,1,0,0,0,0
11,2021-12-31 10:00:00+00:00,4,12,4508,['Obstacle voie'],1,1,0,0,0,0
12,2021-12-31 11:00:00+00:00,4,12,4558,['Obstacle voie'],1,1,0,0,0,0
13,2021-12-31 12:00:00+00:00,4,12,4751,['Obstacle voie'],1,1,0,0,0,0
14,2021-12-31 13:00:00+00:00,4,12,4831,[],0,1,0,0,0,0
15,2021-12-31 14:00:00+00:00,4,12,5180,[],0,1,0,0,0,0
16,2021-12-31 15:00:00+00:00,4,12,5396,[],0,1,0,0,0,0
17,2021-12-31 16:00:00+00:00,4,12,5784,[],0,1,0,0,0,0
18,2021-12-31 17:00:00+00:00,4,12,6427,[],0,1,0,0,0,0
19,2021-12-31 18:00:00+00:00,4,12,5729,[],0,1,0,0,0,0
20,2021-12-31 19:00:00+00:00,4,12,4736,[],0,1,0,0,0,0
21,2021-12-31 20:00:00+00:00,4,12,3176,[],0,1,0,0,0,0
22,2021-12-31 21:00:00+00:00,4,12,2584,[],0,1,0,0,0,0
23,2021-12-31 22:00:00+00:00,4,12,2616,[],0,1,0,0,0,0
24,2021-12-31 23:00:00+00:00,4,12,1448,[],0,1,0,0,0,0
25,2022-01-01 00:00:00+00:00,5,1,826,[],0,1,0,0,0,0
26,2021-12-31 00:00:00+00:00,4,12,668,[],0,0,1,0,0,0
27,2021-12-31 00:00:00+00:00,4,12,997,[],0,0,1,0,0,0
28,2021-12-31 01:00:00+00:00,4,12,796,[],0,0,1,0,0,0
29,2021-12-31 02:00:00+00:00,4,12,526,[],0,0,1,0,0,0
30,2021-12-31 03:00:00+00:00,4,12,370,[],0,0,1,0,0,0
31,2021-12-31 04:00:00+00:00,4,12,617,[],0,0,1,0,0,0
32,2021-12-31 05:00:00+00:00,4,12,1211,['Train en panne'],1,0,1,0,0,0
33,2021-12-31 06:00:00+00:00,4,12,2223,"['Train en panne', 'Voyageur', 'Voyageur', 'Voyageur']",4,0,1,0,0,0
34,2021-12-31 07:00:00+00:00,4,12,3085,"['Train en panne', 'Voyageur', 'Voyageur', 'Train en panne', 'Voyageur']",5,0,1,0,0,0
35,2021-12-31 08:00:00+00:00,4,12,3894,"['Train en panne', 'Voyageur', 'Train en panne', 'Voyageur']",4,0,1,0,0,0
36,2021-12-31 09:00:00+00:00,4,12,4047,"['Train en panne', 'Signalisation', 'Train en panne']",3,0,1,0,0,0
37,2021-12-31 10:00:00+00:00,4,12,4688,['Signalisation'],1,0,1,0,0,0
38,2021-12-31 11:00:00+00:00,4,12,4785,['Signalisation'],1,0,1,0,0,0
39,2021-12-31 12:00:00+00:00,4,12,5145,[],0,0,1,0,0,0
40,2021-12-31 13:00:00+00:00,4,12,5351,[],0,0,1,0,0,0
41,2021-12-31 14:00:00+00:00,4,12,5530,[],0,0,1,0,0,0
42,2021-12-31 15:00:00+00:00,4,12,5222,"['Management', 'Obstacle voie', 'Management']",3,0,1,0,0,0
43,2021-12-31 16:00:00+00:00,4,12,5920,"['Management', 'Obstacle voie', 'Management']",3,0,1,0,0,0
44,2021-12-31 17:00:00+00:00,4,12,6241,"['Management', 'Management', 'Obstacle voie', 'Management']",4,0,1,0,0,0
45,2021-12-31 18:00:00+00:00,4,12,5746,"['Management', 'Obstacle voie', 'Management']",3,0,1,0,0,0
46,2021-12-31 19:00:00+00:00,4,12,4843,"['Management', 'Obstacle voie']",2,0,1,0,0,0
47,2021-12-31 20:00:00+00:00,4,12,3906,[],0,0,1,0,0,0
48,2021-12-31 21:00:00+00:00,4,12,3162,[],0,0,1,0,0,0
49,2021-12-31 22:00:00+00:00,4,12,2772,[],0,0,1,0,0,0
50,2021-12-31 23:00:00+00:00,4,12,1737,[],0,0,1,0,0,0
51,2022-01-01 00:00:00+00:00,5,1,1016,[],0,0,1,0,0,0
52,2021-12-31 00:00:00+00:00,4,12,99,[],0,0,0,1,0,0
53,2021-12-31 00:00:00+00:00,4,12,237,[],0,0,0,1,0,0
54,2021-12-31 01:00:00+00:00,4,12,179,[],0,0,0,1,0,0
55,2021-12-31 02:00:00+00:00,4,12,54,[],0,0,0,1,0,0
56,2021-12-31 03:00:00+00:00,4,12,50,[],0,0,0,1,0,0
57,2021-12-31 04:00:00+00:00,4,12,209,[],0,0,0,1,0,0
58,2021-12-31 05:00:00+00:00,4,12,329,[],0,0,0,1,0,0
59,2021-12-31 06:00:00+00:00,4,12,388,[],0,0,0,1,0,0
60,2021-12-31 07:00:00+00:00,4,12,631,[],0,0,0,1,0,0
61,2021-12-31 08:00:00+00:00,4,12,707,[],0,0,0,1,0,0
62,2021-12-31 09:00:00+00:00,4,12,641,[],0,0,0,1,0,0
63,2021-12-31 10:00:00+00:00,4,12,863,[],0,0,0,1,0,0
64,2021-12-31 11:00:00+00:00,4,12,926,[],0,0,0,1,0,0
65,2021-12-31 12:00:00+00:00,4,12,1135,[],0,0,0,1,0,0
66,2021-12-31 13:00:00+00:00,4,12,1170,[],0,0,0,1,0,0
67,2021-12-31 14:00:00+00:00,4,12,1187,[],0,0,0,1,0,0
68,2021-12-31 15:00:00+00:00,4,12,1143,[],0,0,0,1,0,0
69,2021-12-31 16:00:00+00:00,4,12,1319,[],0,0,0,1,0,0
70,2021-12-31 17:00:00+00:00,4,12,1482,[],0,0,0,1,0,0
71,2021-12-31 18:00:00+00:00,4,12,1095,[],0,0,0,1,0,0
72,2021-12-31 19:00:00+00:00,4,12,841,[],0,0,0,1,0,0
73,2021-12-31 20:00:00+00:00,4,12,736,[],0,0,0,1,0,0
74,2021-12-31 21:00:00+00:00,4,12,529,[],0,0,0,1,0,0
75,2021-12-31 22:00:00+00:00,4,12,505,[],0,0,0,1,0,0
76,2021-12-31 23:00:00+00:00,4,12,382,[],0,0,0,1,0,0
77,2022-01-01 00:00:00+00:00,5,1,159,[],0,0,0,1,0,0
78,2021-12-31 00:00:00+00:00,4,12,650,[],0,0,0,0,1,0
79,2021-12-31 00:00:00+00:00,4,12,1105,[],0,0,0,0,1,0
80,2021-12-31 01:00:00+00:00,4,12,1001,[],0,0,0,0,1,0
81,2021-12-31 02:00:00+00:00,4,12,641,[],0,0,0,0,1,0
82,2021-12-31 03:00:00+00:00,4,12,359,[],0,0,0,0,1,0
83,2021-12-31 04:00:00+00:00,4,12,722,[],0,0,0,0,1,0
84,2021-12-31 05:00:00+00:00,4,12,1201,[],0,0,0,0,1,0
85,2021-12-31 06:00:00+00:00,4,12,2023,[],0,0,0,0,1,0
86,2021-12-31 07:00:00+00:00,4,12,2843,[],0,0,0,0,1,0
87,2021-12-31 08:00:00+00:00,4,12,4119,[],0,0,0,0,1,0
88,2021-12-31 09:00:00+00:00,4,12,4139,['Exploitation'],1,0,0,0,1,0
89,2021-12-31 10:00:00+00:00,4,12,4399,['Exploitation'],1,0,0,0,1,0
90,2021-12-31 11:00:00+00:00,4,12,5036,['Exploitation'],1,0,0,0,1,0
91,2021-12-31 12:00:00+00:00,4,12,5793,[],0,0,0,0,1,0
92,2021-12-31 13:00:00+00:00,4,12,5823,[],0,0,0,0,1,0
93,2021-12-31 14:00:00+00:00,4,12,5973,[],0,0,0,0,1,0
94,2021-12-31 15:00:00+00:00,4,12,6066,[],0,0,0,0,1,0
95,2021-12-31 16:00:00+00:00,4,12,6782,[],0,0,0,0,1,0
96,2021-12-31 17:00:00+00:00,4,12,6658,[],0,0,0,0,1,0
97,2021-12-31 18:00:00+00:00,4,12,6144,[],0,0,0,0,1,0
98,2021-12-31 19:00:00+00:00,4,12,5298,[],0,0,0,0,1,0
99,2021-12-31 20:00:00+00:00,4,12,4108,[],0,0,0,0,1,0
